message,label
AICTE Saksham Scholarship for differently abled students,0
AICTE Pragati Scholarship for girl students,0
National Scholarship Portal applications are now open,0
Post Matric Scholarship for SC ST OBC students,0
Merit cum Means Scholarship for minority students,0
Central Sector Scheme of Scholarship for college students,0
NSP scholarship deadline extended apply now on gov.in,0
UGC scholarship for university students announced,0
State government scholarship portal is now active,0
Scholarship available for engineering students through AICTE,0
Apply for INSPIRE scholarship via official website,0
Tamil Nadu state scholarship for college students,0
AP government scholarship for degree students,0
Telangana ePASS scholarship application open,0
Karnataka SSP scholarship registration started,0
Jagananna Vidya Deevena,0

Win free scholarship money instantly apply fast,1
No documents required get scholarship today,1
Pay 199 rupees registration fee to activate scholarship,1
Scholarship lottery winner claim 1 lakh now,1
Urgent scholarship closing in 10 minutes click link,1
Get government scholarship without application process,1
Submit Aadhaar ATM details to receive scholarship,1
Private company offering guaranteed scholarship apply now,1
Forward this message to get free scholarship,1
Earn scholarship by clicking this link instantly,1
Fake AICTE scholarship pay fee now,1
Apply scholarship through private portal fast approval,1
Scholarship approved send OTP to receive amount,1
Get scholarship money in bank today without verification,1
